PERMNO,date,prc
57665,20041216,85.9
57665,20041217,91.7
57665,20041220,91.5
57665,20041221,91.41
57665,20041222,91.08
57665,20041223,91.63
57665,20041227,90.85
57665,20041228,91.49
57665,20041229,90.57
57665,20041230,90.98
57665,20041231,90.69
57665,20050103,90.69
57665,20050104,89.4
57665,20050105,88.33
57665,20050106,88.22
57665,20050107,87.7
57665,20050110,88.57
57665,20050111,88.15
57665,20050112,88.59
57665,20050113,88.02
57665,20050114,88.95
57665,20050118,88.7
57665,20050119,88.55
57665,20050120,86.8
57665,20050121,86.3
57665,20050124,86.31
57665,20050125,85.89
57665,20050126,85.15
57665,20050127,86.45
57665,20050128,86.49
57665,20050131,86.63
57665,20050201,87.07
57665,20050202,86.7
57665,20050203,86.6
57665,20050204,87.04
57665,20050207,86.2
57665,20050208,83.95
57665,20050209,83.26
57665,20050210,83.96
57665,20050211,84.65
57665,20050214,85.21
57665,20050215,85.29
57665,20050216,85.43
57665,20050217,85.2
57665,20050218,85.51
57665,20050222,83.9
57665,20050223,84.9
57665,20050224,86.5
57665,20050225,87.25
57665,20050228,86.95
57665,20050301,87.8
57665,20050302,87.31
57665,20050303,87.25
57665,20050304,87.6
57665,20050307,87.18
57665,20050308,86.5
57665,20050309,86.27
57665,20050310,86.69
57665,20050311,86.6
57665,20050314,85.76
57665,20050315,87.15
57665,20050316,86.44
57665,20050317,86.83
57665,20050318,85.4
57665,20050321,83.9
57665,20050322,82.54
57665,20050323,81.44
57665,20050324,83.62
57665,20050328,83.22
57665,20050329,81.67
57665,20050330,82.35
57665,20050331,83.31
57665,20050401,83
57665,20050404,82.1
57665,20050405,83.09
57665,20050406,82.69
57665,20050407,82.56
57665,20050408,82.31
57665,20050411,82.24
57665,20050412,82.36
57665,20050413,79.75
57665,20050414,78.01
57665,20050415,75.86
57665,20050418,75.93
57665,20050419,77.43
57665,20050420,76.44
57665,20050421,78.56
57665,20050422,77.82
57665,20050425,78.33
57665,20050426,77.61
57665,20050427,78.07
57665,20050428,76.93
57665,20050429,76.81
57665,20050502,77.12
57665,20050503,77.75
57665,20050504,77.65
57665,20050505,77.74
57665,20050506,77.78
57665,20050509,78.73
57665,20050510,77.6
57665,20050511,77.84
57665,20050512,76.84
57665,20050513,76.45
57665,20050516,77.01
57665,20050517,78.77
57665,20050518,81.92
57665,20050519,83.19
57665,20050520,82.09
57665,20050523,82.48
57665,20050524,82.72
57665,20050525,81.61
57665,20050526,81.94
57665,20050527,82.43
57665,20050531,82.2
57665,20050601,83.14
57665,20050602,83.82
57665,20050603,83.75
57665,20050606,84.33
57665,20050607,84.8
